"Taxpayer.Number","Taxpayer.Name","Taxpayer.Address","Taxpayer.City","Taxpayer.State","Taxpayer.Zip","Taxpayer.County","Location.Number","Location.Name","Location.Address","Location.City","Location.State","Location.Zip","Location.County","Inside.Outside.City.Limits","TABC.Permit.Number","Responsibility.Begin.Date","Responsibility.End.Date","Obligation.End.Date","Liquor.Receipts","Wine.Receipts","Beer.Receipts","Cover.Charge.Receipts","Total.Receipts"
12017925285,"SAN ANGELO-WOOFERS & TWEETERS, INC.","5234 FAIRWAY DR","SAN ANGELO","TX",76904,226,1,"WOOFERS & TWEETERS BAR & GRILL","3520 KNICKERBOCKER RD STE D","SAN ANGELO","TX",76904,226,"Y","MB570089","12/17/2004","11/06/2013","11/30/2008",21325,210,19631,0,41166
17523862559,"THE ELMORE CORP.","3010 E ABRAM ST","ARLINGTON","TX",76010,220,2,"THE HIDE A WAY CLUB","3010 E ABRAM ST","ARLINGTON","TX",76010,220,"Y","MB235031","12/01/1993","","08/31/2018",13114,51,7472,0,20637
12023043354,"CGP BEVCO HOLDINGS, LLC","5429 LYNDON B JOHNSON FWY STE 400","DALLAS","TX",75240,57,5,"WALDEN ON LAKE HOUSTON GOLF AND COUNTRY CLUB","18139 WALDEN FOREST DR","HUMBLE","TX",77346,101,"N","MB610003","03/18/2014","","05/31/2023",1257,1831,4554,0,7642
32041601611,"BURGER BREAK, INC","2639 WALNUT HILL LN STE 225","DALLAS","TX",75229,57,1,"BURGER BREAK","901 W SPRING CREEK PKWY STE 125","PLANO","TX",75023,43,"Y","RM750778","06/21/2010","12/31/2011","08/31/2011",0,0,555,0,555
32053785930,"CHENG JIANG LEAF, LLC","13906 FRASER LAKE LN","HOUSTON","TX",77083,79,1,"HUNAN VILLAGE RESTAURANT","1402 N LOOP 336 W","CONROE","TX",77304,170,"Y","MB893417","12/19/2014","","07/31/2023",145,219,217,0,581
17602360988,"CAPT. WICK'S SEAFOOD RESTAURANT, INC.","PO BOX 1064","SEABROOK","TX",77586,101,4,"CAPT. WICK'S SEAFOOD REATAURANT","409 TODVILLE RD # A","SEABROOK","TX",77586,101,"Y","MB223736","08/10/2009","","07/31/2020",0,0,0,0,0
17423002108,"CLICKS-EL PASO, INC.","3110 WEBB AVE STE 260","DALLAS","TX",75205,57,1,"CLICKS","1201 AIRWAY BLVD STE A-3","EL PASO","TX",79925,71,"Y","MB180263","10/15/2020","","07/31/2010",36551,68,37447,0,74066
32065037486,"3801 NAVARRO LLC","3801 N NAVARRO ST","VICTORIA","TX",77901,235,1,"KINGS GRILL & BAR","3801 N NAVARRO ST","VICTORIA","TX",77901,235,"Y","MB1018239","06/11/2018","06/10/2022","08/31/2021",3214,99,883,0,4196
17529603809,"LUNA DE NOCHE - PRESTON, LTD.","6228 TULIP LN","DALLAS","TX",75230,57,1,"LUNA DE NOCHE","1401 PRESTON RD","PLANO","TX",75093,43,"Y","RM755809","08/25/2010","03/31/2021","12/31/2017",12559,1894,2007,0,16460
32059724453,"SCULLYBOY, LLC","PO BOX 253","PORT LAVACA","TX",77979,29,1,"SCULLY'S","802 FULTON ST","PORT LAVACA","TX",77979,29,"Y","MB941703","04/19/2016","","06/30/2019",21315,703,29372,0,51390
17603447214,"SPRING SOCIAL CLUB, INC.","28902 LODDINGTON ST","SPRING","TX",77386,170,1,"PAPA'S","314 PRUITT RD","SPRING","TX",77380,170,"Y","MB537292","06/04/2003","10/02/2020","06/30/2009",36189,1346,66263,0,103798
17519330587,"CHILI'S BEVERAGE COMPANY, INC.","3000 OLYMPUS BLVD C/O TAX DEPARTMENT","COPPELL","TX",75019,57,309,"CHILI'S GRILL & BAR","292 STRICKLAND DR","ORANGE","TX",77630,181,"Y","RM668101","08/10/2007","","01/31/2011",16770,1214,12327,0,30311
32078963371,"STONE OAK HOTEL LLC","5090 RICHMOND AVE","HOUSTON","TX",77056,101,1,"HOLIDAY INN SAN ANTONIO N-STONE OAK AREA","19280 REDLAND RD","SAN ANTONIO","TX",78259,15,"Y","MB200047938","02/16/2022","","07/31/2022",245,33,145,0,423
17427384403,"OPERATING PORT ROYAL, INC.","6317 STATE HIGHWAY 361","PORT ARANSAS","TX",78373,178,1,"THE ATRIUM AT PORT ROYAL","6317 STATE HIGHWAY 361","PORT ARANSAS","TX",78373,178,"Y","MB446503","03/17/1999","","07/31/2015",59087,1909,11518,0,72514
17519330587,"CHILI'S BEVERAGE COMPANY, INC.","3000 OLYMPUS BLVD C/O TAX DEPARTMENT","COPPELL","TX",75019,57,163,"CHILI'S GRILL & BAR","4525 WOODROW BEAN","EL PASO","TX",79924,71,"Y","MB528693","01/06/2003","","07/31/2018",21386,890,16142,0,38418
17707125856,"GOOD MEX, LLC","12444 WINDERMERE DR","EL PASO","TX",79928,71,1,"LEO'S MEXICAN FOODS","1921 ZARAGOZA RD STE F","EL PASO","TX",79938,71,"Y","MB688101","03/28/2008","04/03/2012","07/31/2010",3903,120,4336,0,8359
17419388958,"NINO'S RESTAURANT AND BAR, INC.","11214 WILDING LN","HOUSTON","TX",77024,101,1,"NINO'S RESTAURANT AND BAR, INC.","2817 W DALLAS ST","HOUSTON","TX",77019,101,"Y","MB113805","12/01/1993","08/26/2022","10/31/2020",7720,31402,1044,0,40166
32043605958,"KOBE-SENGPHET, INC","2359 W STATE HIGHWAY 71","LA GRANGE","TX",78945,75,1,"SEALAND SEAFOOD & STEAK","2359 W STATE HIGHWAY 71","LA GRANGE","TX",78945,75,"Y","MB769867","03/10/2011","","12/31/2016",4394,1946,3376,0,9716
32044613852,"GARCIA ATX, LLC","2506 E BEN WHITE BLVD","AUSTIN","TX",78741,227,1,"DON JUAN MEXICAN RESTAURANT","2506 E BEN WHITE BLVD","AUSTIN","TX",78741,227,"Y","MB1123920","07/06/2021","","12/31/2022",2128,0,3841,0,5969
32062329530,"PERSHING BEVERAGES, LLC","2415 E 5TH ST","AUSTIN","TX",78702,227,1,"PERSHING/TOSHOKAN","2415 E 5TH ST","AUSTIN","TX",78702,227,"Y","MB974564","03/02/2017","","06/30/2018",21886,2447,963,0,25296
32052333385,"AUSTIN ICEHOUSE PROJECT ONE LLC","701 W 6TH ST","AUSTIN","TX",78701,227,1,"WHISKEY TANGO FOXTROT ICE HOUSE","701 W 6TH ST","AUSTIN","TX",78701,227,"Y","MB991679","08/16/2017","","04/30/2019",94006,2045,25627,0,121678
